file,edits
styles.scss,118
_quarto.yml,39
index.qmd,31
about.qmd,27
academic-projects/pricebeo.qmd,23
academic-projects/ml-python.qmd,14
academic-projects/superdry.qmd,12
projects/fitness.qmd,11
academic-projects/index.qmd,10
future_goals.qmd,9
projects/list/data-analytics.qmd,8
academic-projects/eportfolio.qmd,8
projects/projects.yml,7
personal-projects/bathstore.qmd,5
personal-projects/vip-ireland.qmd,5
