extension,count,total_bytes
.qmd,16,209909
.png,14,15208248
.pdf,12,56312974
.jpg,11,23835128
.jpeg,4,26170460
.ttf,4,715804
.woff2,4,307172
.yml,3,5424
.css,3,180635
(no extension),2,30
.html,1,782
.scss,1,75415
.csv,1,190
.jfif,1,5998
.webp,1,4800
.md,1,379
.bak,1,7579
.py,1,4998
.lua,1,2133
.txt,1,7427
